Month,Week,Day of week,Channel Group,Description EN,Typol,Time slot,Time start,Male-Rating%,Male-Share,Female-Rating%,Female-Share,4-9-Rating%,4-9-Share,10-14-Rating%,10-14-Share,15-19-Rating%,15-19-Share,20-29-Rating%,20-29-Share,30-39-Rating%,30-39-Share,40-49-Rating%,40-49-Share,50-64-Rating%,50-64-Share,65+-Rating%,65+-Share,Mitrovica-Rating%,Mitrovica-Share,Gjilan-Rating%,Gjilan-Share,Peje-Rating%,Peje-Share,Prizren-Rating%,Prizren-Share,Prizren-Rating%,Prizren-Share,Ferizaj-Rating%,Ferizaj-Share,Pristina-Rating%,Pristina-Share
March,Week 9,Monday,T7 Group,Showbiz,Emision argetues,02:00:00-26:00:00,09:35:00,0.19,1.61,0.07,0.51,0,0,0,0,0,0,0.13,1.5,0,0,0,0,0.74,5.23,0.16,0.72,0.09,1.11,0,0,0.22,1.94,0,0,0,0,0,0,0.32,4.81
March,Week 9,Monday,T7 Group,Showbiz,Emision argetues,02:00:00-26:00:00,09:35:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Showbiz,Emision argetues,02:00:00-26:00:00,15:40:00,0.05,0.24,0.04,0.23,0,0,0.05,0.42,0.09,0.32,0.01,0.09,0.05,0.24,0.07,0.27,0.09,0.3,0.05,0.18,0,0,0,0,0,0,0.15,0.75,0,0,0,0,0.08,0.59
March,Week 9,Monday,T7 Group,Showbiz,Emision argetues,02:00:00-26:00:00,15:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Showbiz,Emision argetues,02:00:00-26:00:00,18:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Showbiz,Emision argetues,02:00:00-26:00:00,18:25:00,1.02,2.92,0.38,1.17,0,0,0,0,1.63,5.36,1.07,3.67,0.14,0.45,1.36,3.16,0,0,1.86,4.39,0,0,0.38,0.84,2.98,12.6,1.75,4.32,0,0,0,0,0.08,0.29
March,Week 9,Monday,T7 Group,Sport news,Emision sportiv,02:00:00-26:00:00,18:10:00,1.12,3.25,0.84,2.61,0.03,0.14,0,0,3.47,11.91,0.42,1.46,1.09,3.56,2.37,5.23,0.4,0.86,0.05,0.12,0,0,1.98,4.13,6.16,26.78,0.25,0.63,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Sport news,Emision sportiv,02:00:00-26:00:00,18:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Sport news,Emision sportiv,02:00:00-26:00:00,19:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Sport news,Emision sportiv,02:00:00-26:00:00,19:10:00,0.66,1.72,0,0,0,0,0,0,0.02,0.07,1.07,3.1,0,0,0.78,1.74,0,0,0.46,1.03,0.02,0.05,0,0,0,0,1.14,2.52,0,0,0.39,1.03,0.34,1.03
March,Week 9,Monday,T7 Group,Sport news,Emision sportiv,02:00:00-26:00:00,20:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,Sport news,Emision sportiv,02:00:00-26:00:00,20:20:00,1.2,2.88,1.05,2.78,0.05,0.13,1.25,4.1,0.72,2.64,1.78,5.34,1.48,3.76,0.54,1.1,1.13,2.13,1.81,3.35,0.32,0.79,0.34,0.91,0,0,1.78,4.01,0,0,0,0,2.53,6.68
March,Week 9,Monday,T7 Group,T7 Story,Emision,02:00:00-26:00:00,11:00:00,0.23,1.89,0.69,4.54,0,0,0.02,0.45,1.05,9.78,0.03,0.37,0.26,1.69,1.63,7.94,0.68,4.51,0.05,0.2,0,0,0.46,1.95,0,0,1.97,8.7,0,0,0,0,0.18,2.13
March,Week 9,Monday,T7 Group,T7 Story,Emision,02:00:00-26:00:00,11:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,T7 Story,Emision,02:00:00-26:00:00,14:40:00,0.27,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,7.96,0,0,0,0,0,0,0,0,0,0,0,0,0.48,3.58
March,Week 9,Monday,T7 Group,T7 Story,Emision,02:00:00-26:00:00,14:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,T7 Story,Emision,02:00:00-26:00:00,16:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,T7 Story,Emision,02:00:00-26:00:00,16:25:00,0.39,1.63,0.17,0.81,0,0,0,0,0,0,0,0,0.66,2.99,0.47,1.54,0.96,3.15,0,0,0.43,1.8,0,0,0,0,1.25,4.42,0,0,0,0,0.02,0.13
March,Week 9,Monday,T7 Group,T7 Story,Emision,02:00:00-26:00:00,18:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,T7 Group,T7 Story,Emision,02:00:00-26:00:00,18:50:00,0.59,1.6,0.12,0.36,0.05,0.19,0.06,0.25,0.18,0.53,1.13,3.68,0.02,0.06,0.77,1.73,0.07,0.13,0.09,0.21,0.28,0.81,0,0,0,0,1.47,3.35,0,0,0,0,0.23,0.69
March,Week 9,Monday,T7 Group,Zeri i Amelikes,Lajme,02:00:00-26:00:00,16:05:00,0.36,1.56,0.1,0.49,0,0,0,0,0,0,0,0,0.64,3,0,0,1.07,3.48,0,0,0,0,0.02,0.05,0,0,1.22,5.01,0,0,0,0,0.06,0.4
March,Week 9,Monday,T7 Group,Zeri i Amelikes,Lajme,02:00:00-26:00:00,16:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,RTV 21 Group,2 ME 1,Sport,02:00:00-26:00:00,13:05:00,0,0,0.02,0.13,0,0,0,0,0,0,0,0,0,0,0.08,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.33
March,Week 9,Monday,RTV 21 Group,2 ME 1,Sport,02:00:00-26:00:00,13:05:00,0.91,7.59,1.82,11.76,1.2,10.7,2.6,19.87,0.22,1.76,1.01,9.23,0.53,4,1.08,7.31,2.94,15.29,2.04,11.34,0.21,1.73,2.91,14.55,0.15,1.12,1.67,15.79,6.6,40.13,0,0,0.54,4.96
March,Week 9,Monday,RTV 21 Group,21 LIVE NEWS,Lajme,02:00:00-26:00:00,18:30:00,5.15,13.86,4.75,13.67,1.64,6.2,1.04,4.18,4.16,12.48,5.83,18.39,3.33,10.19,6.23,14.08,9.44,17.26,8.89,20.08,6.21,16.59,7.25,14.51,4.69,20.21,3.5,8.07,10.65,38.36,2.78,8.28,3.44,10.79
March,Week 9,Monday,RTV 21 Group,21 LIVE NEWS,Lajme,02:00:00-26:00:00,18:30:00,0.26,0.71,0.07,0.21,0,0,0,0,0.57,1.72,0.2,0.65,0,0,0.29,0.66,0.26,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,1.85
March,Week 9,Monday,RTV 21 Group,21 MINUTA,Lajme,02:00:00-26:00:00,03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,RTV 21 Group,21 MINUTA,Lajme,02:00:00-26:00:00,03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,RTV 21 Group,21 MINUTA,Lajme,02:00:00-26:00:00,23:30:00,0.18,9.72,0.16,7.85,0.23,10.99,0,0,0,0.02,0.18,14.37,0.22,9.92,0.08,3.97,0.23,9.71,0.54,20.83,0.14,12.6,0,0,0.47,21.05,0.08,4.1,0.42,27.6,0,0.34,0.2,13.13
March,Week 9,Monday,RTV 21 Group,21 MINUTA,Lajme,02:00:00-26:00:00,23:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,RTV 21 Group,BABI JEM SUPERMEN,Emision garues,02:00:00-26:00:00,21:15:00,2.59,6.61,2.33,6.45,3.82,10.97,0.85,3.34,0.36,1.16,3.6,10.47,2.2,5.79,1.82,4.47,3.82,7.29,2.26,4.72,0.02,0.05,0.82,1.74,1.37,4.06,0.96,2.64,9.24,30.54,0,0,4.74,12.8
March,Week 9,Monday,RTV 21 Group,BABI JEM SUPERMEN,Emision garues,02:00:00-26:00:00,21:15:00,0.01,0.01,0,0,0,0,0,0,0.01,0.04,0,0.01,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.03
March,Week 9,Monday,RTV 21 Group,BON BON,Magazine televizive,02:00:00-26:00:00,04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,RTV 21 Group,BON BON,Magazine televizive,02:00:00-26:00:00,04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,Week 9,Monday,RTV 21 Group,BON BON,Magazine televizive,02:00:00-26:00:00,16:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
