Channel Group,Date,Day of week,Metrics,Time end,Time start,Values
A TV,5/3/2021,Friday,Gjilan Region Rating%,7:30:00,7:00:00,0
A TV,5/3/2021,Friday,Male Rating%,7:30:00,7:00:00,0.22
A TV,5/3/2021,Friday,Mitrovica Region Rating%,7:30:00,7:00:00,0
A TV,5/3/2021,Friday,Peja Region Rating%,7:30:00,7:00:00,0.14
A TV,5/3/2021,Friday,Prishtina Region Rating%,7:30:00,7:00:00,0
A TV,5/3/2021,Friday,Prizren Region Rating%,7:30:00,7:00:00,0.7
A TV,5/3/2021,Friday,Rurall Rating%,7:30:00,7:00:00,0
A TV,5/3/2021,Friday,Urbann Rating%,7:30:00,7:00:00,0.33
A TV,5/3/2021,Friday,1-14 Yrs Rating%,8:00:00,7:30:00,0.25
A TV,5/3/2021,Friday,15-19 Yrs Rating%,8:00:00,7:30:00,0.09
A TV,5/3/2021,Friday,20- 24 Yrs Rating%,8:00:00,7:30:00,1.63
A TV,5/3/2021,Friday,25-34 Yrs Rating%,8:00:00,7:30:00,0.29
A TV,5/3/2021,Friday,35-44 Yrs Rating%,8:00:00,7:30:00,0.42
A TV,5/3/2021,Friday,45-54 Yrs Rating%,8:00:00,7:30:00,0.07
A TV,5/3/2021,Friday,55-64 Yrs Rating%,8:00:00,7:30:00,0.12
A TV,5/3/2021,Friday,65+ Rating%,8:00:00,7:30:00,0
A TV,5/3/2021,Friday,All target Rating%,8:00:00,7:30:00,0.35
A TV,5/3/2021,Friday,Female Rating%,8:00:00,7:30:00,0.1
A TV,5/3/2021,Friday,Ferizaj Region Rating%,8:00:00,7:30:00,0
A TV,5/3/2021,Friday,Gjakova Region Rating%,8:00:00,7:30:00,1.42
A TV,5/3/2021,Friday,Gjilan Region Rating%,8:00:00,7:30:00,0
A TV,5/3/2021,Friday,Male Rating%,8:00:00,7:30:00,0.6
A TV,5/3/2021,Friday,Mitrovica Region Rating%,8:00:00,7:30:00,0
A TV,5/3/2021,Friday,Peja Region Rating%,8:00:00,7:30:00,0.44
A TV,5/3/2021,Friday,Prishtina Region Rating%,8:00:00,7:30:00,0.25
A TV,5/3/2021,Friday,Prizren Region Rating%,8:00:00,7:30:00,0.7
A TV,5/3/2021,Friday,Rurall Rating%,8:00:00,7:30:00,0.16
A TV,5/3/2021,Friday,Urbann Rating%,8:00:00,7:30:00,0.6
A TV,5/3/2021,Friday,1-14 Yrs Rating%,8:30:00,8:00:00,0.25
A TV,5/3/2021,Friday,15-19 Yrs Rating%,8:30:00,8:00:00,0
A TV,5/3/2021,Friday,20- 24 Yrs Rating%,8:30:00,8:00:00,0.72
A TV,5/3/2021,Friday,25-34 Yrs Rating%,8:30:00,8:00:00,0.9
A TV,5/3/2021,Friday,35-44 Yrs Rating%,8:30:00,8:00:00,0.38
A TV,5/3/2021,Friday,45-54 Yrs Rating%,8:30:00,8:00:00,0
A TV,5/3/2021,Friday,55-64 Yrs Rating%,8:30:00,8:00:00,0.96
A TV,5/3/2021,Friday,65+ Rating%,8:30:00,8:00:00,0.13
A TV,5/3/2021,Friday,All target Rating%,8:30:00,8:00:00,0.41
A TV,5/3/2021,Friday,Female Rating%,8:30:00,8:00:00,0.35
A TV,5/3/2021,Friday,Ferizaj Region Rating%,8:30:00,8:00:00,3.54
A TV,5/3/2021,Friday,Gjakova Region Rating%,8:30:00,8:00:00,0.21
A TV,5/3/2021,Friday,Gjilan Region Rating%,8:30:00,8:00:00,0
A TV,5/3/2021,Friday,Male Rating%,8:30:00,8:00:00,0.48
A TV,5/3/2021,Friday,Mitrovica Region Rating%,8:30:00,8:00:00,0
A TV,5/3/2021,Friday,Peja Region Rating%,8:30:00,8:00:00,0.46
A TV,5/3/2021,Friday,Prishtina Region Rating%,8:30:00,8:00:00,0.01
A TV,5/3/2021,Friday,Prizren Region Rating%,8:30:00,8:00:00,0.7
A TV,5/3/2021,Friday,Rurall Rating%,8:30:00,8:00:00,0.39
A TV,5/3/2021,Friday,Urbann Rating%,8:30:00,8:00:00,0.44
A TV,5/3/2021,Friday,1-14 Yrs Rating%,9:00:00,8:30:00,0.25
A TV,5/3/2021,Friday,15-19 Yrs Rating%,9:00:00,8:30:00,0
A TV,5/3/2021,Friday,20- 24 Yrs Rating%,9:00:00,8:30:00,0.58
A TV,5/3/2021,Friday,25-34 Yrs Rating%,9:00:00,8:30:00,0.3
A TV,5/3/2021,Friday,35-44 Yrs Rating%,9:00:00,8:30:00,0
